document_name,category,text,answer
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,Effective Date,This Agreement will become effective on the date a fully executed copy of this Agreement is received by Nationwide,/[]/20
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,Governing Law,This Agreement will be construed in accordance with the laws of the State of Delaware and is assignable only upon the written consent by all the parties hereto,Delaware
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,Parties,"CURO MANAGEMENT, LLC, Servicer, CURO RECEIVABLES FINANCE II, LLC, Owner","CURO RECEIVABLES FINANCE II, LLC (""Owner""); CURO MANAGEMENT, LLC (""Servicer"")"
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,Agreement Date,"April 8, 2020,",04/08/2020
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,Expiration Date,"This Agreement shall continue in force until the earlier to occur of (i) the Owner no longer owns any Receivables or Participation Interests, and (ii) subject to Section 7(d), the delivery of written notice of termination by the Owner to the Servicer pursuant to Section 7(c), in each case upon which event this Agreement shall automatically terminate unless otherwise agreed in writing between the Servicer and the Owner.",perpetual
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,Governing Law,"THIS AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REFERENCE TO ITS CONFLICT OF LAW PROVISIONS (OTHER THAN SECTION 5-1401 OF THE GENERAL OBLIGATIONS LAW), AND THE OBLIGATIONS, RIGHTS AND REMEDIES OF THE PARTIES HEREUNDER SHALL BE DETERMINED IN ACCORDANCE WITH SUCH LAWS.",New York
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Document Name,SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES,SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Parties,"Blackstone / GSO Long-Short Credit Income Fund, Mellon Investor Services LLC, Agent, BNY Mellon Shareowner Services, Client, Mellon Investor Services LLC (operating with the service name BNY Mellon Shareowner Services)","Blackstone / GSO Long-Short Credit Income Fund (""Client""); Mellon Investor Services LLC operating with the service name BNY Mellon Shareowner Services (""Agent"")"
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Agreement Date,"January 26, 2011",1/26/11
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Effective Date,"Agent\s appointment hereunder shall commence on the next business day after the later of (i) the date hereof, or (ii) the date Agent has confirmed that Client\s records have been converted to Agent\s system (the ""Effective Date""), and shall continue for three years thereafter (the ""Initial Term"")",
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Expiration Date,"Agent\s appointment hereunder shall commence on the next business day after the later of (i) the date hereof, or (ii) the date Agent has confirmed that Client\s records have been converted to Agent\s system (the ""Effective Date""), and shall continue for three years thereafter (the ""Initial Term"").",1/26/14
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Renewal Term,"Unless either party gives written notice of termination of this Agreement at least 60 days prior to the end of the Initial Term, or any successive three-year term, this Agreement shall automatically renew for successive additional three-year terms; provided, however, that this Agreement shall automatically terminate upon the dissolution of the client.",successive 3 years
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,Governing Law,"This Agreement shall be governed by, construed and interpreted in accordance with the laws of the State of New York, without regard to principles of conflicts of law.",New York
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Document Name,SERVICES AGREEMENT,SERVICES AGREEMENT
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Parties,"Oaktree US, Oaktree Capital Management (International) Limited, Oaktree Capital Management, L.P., Sub-Advisor","Oaktree Capital Management. L.P. (""Oaktree US""); Oaktree Capital Management (International) Limited (""Sub-Advisor"")"
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Agreement Date,25 September 2018,9/25/18
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Effective Date,25 September 2018,9/25/18
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Expiration Date,"""In relation to each Fund, this Agreement shall terminate on the earlier of (a) the expiration of the term of such Fund or (b) the date, if any, on which Oaktree US (or any affiliate it has substituted in its stead in accordance with such Funds Fund Agreement) is removed as general partner of such Fund or (c) the Sub-Advisor ceasing to be authorised and regulated by the FCA.""",
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.PDF",Governing Law,This Agreement is governed by the laws of England and Wales.,"England and Wales, UK"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Document Name,Master Service Agreement,Master Service Agreement
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Parties,"Client, Purinix Pharmaceuticals LLC, CRO Consulting (Pty) Limited, CRO","CRO Consultiong (Pty) Limited (""CRO""); Purinis Pharmaceuticals LLC (""Client"")"
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Agreement Date,"May 25th, 2018",5/25/08
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Effective Date,This Agreement shall take effect on the date of signature of the Agreement by both parties and shall terminate when all obligations required of both parties hereunder are performed unless either terminated earlier or extended by the parties pursuant to the terms of this Agreement subject to clause 4.0. 25/05/2008,5/25/18
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Expiration Date,This Agreement shall take effect on the date of signature of the Agreement by both parties and shall terminate when all obligations required of both parties hereunder are performed unless either terminated earlier or extended by the parties pursuant to the terms of this Agreement subject to clause 4.0.,
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Governing Law,"This Agreement shall be governed by the laws of the State of Connecticut, U.S.A. without regard to conflict of law principles.",Connecticut
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Document Name,MASTER SERVICES AGREEMENT (,MASTER SERVICES AGREEMENT (
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Parties,"Company, Contractor, RadialSpark, LLC, Clear Capital","Clear Capital (""Company""); Radial Spark, LLC (""Contractor"")"
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Agreement Date,9/24/2018,9/24/18
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Effective Date,9/24/2018,9/24/18
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Expiration Date,"At any time that there is no uncompleted Statement of Work outstanding, either party may terminate this Agreement for any or no reason upon fifteen (15) days advance notice to the other., The term of this Agreement shall begin on the date hereof and shall continue until terminated by either party pursuant to Paragraph 6 hereof.",perpetual
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Governing Law,"This Agreement shall be governed by and construed in accordance with the laws of the Arizona, without regard to the conflict of laws provisions thereof.",Arizona
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Parties,"PFS Funds, Adviser, Potomac Fund Management, Inc., Trust","PFS Funds (""Trust""); Potomac Fund Management, Inc. (""Adviser"")"
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Agreement Date,"June 24, 2020",6/24/20
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Effective Date,"June 24, 2020",6/24/20
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Expiration Date,The term of this Services Agreement shall begin on the date of execution and shall continue in effect for a period of two years.,6/24/22
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Governing Law,This Agreement shall be construed and enforced in accordance with and governed by the laws of the State of Massachusetts.,Massachusetts
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,Parties,"Intellisense Solutions, Inc., Company, Maimon, Idan Maimon","Idan Maimon (""Maimon""); Intellisense Solutions Inc. (""Company"")"
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,Agreement Date,"April 1, 2019",04/01/2019
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,Effective Date,"April 1, 2019, Subject to the provisions for termination hereinafter provided, the term of this Agreement shall commence on the date hereof (the ""Effective Date"") and shall continue for a minimum period of 12 months (the ""Minimum Period"") and thereafter upon the mutual agreement of the Company and Maimon (the ""Service Term"").",04/01/2019
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,Expiration Date,"Subject to the provisions for termination hereinafter provided, the term of this Agreement shall commence on the date hereof (the ""Effective Date"") and shall continue for a minimum period of 12 months (the ""Minimum Period"") and thereafter upon the mutual agreement of the Company and Maimon (the ""Service Term"").",04/01/2020
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,Governing Law,This Agreement shall be governed by and construed in accordance with the law of the State of New York without giving effect to the principles of conflicts of law thereof.,New York
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Document Name,SERVICE AGREEMENT,SERVICE AGREEMENT
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Parties,"Administrator, The Victory Portfolios, Hartford Life Insurance Co., Inc., Trust","The Victory Portfolios (""Trust""); Hartford Life Insurance Co., Inc. (""Administrator"")"
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Agreement Date,9/28/2004,9/28/04
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Expiration Date,"""This Agreement shall terminate (a) at the option of any party, upon 90 days advance written notice to the other parties hereto; or (b) in the event of a material breach that has not been cured within ten days following a written notice of breach to the breaching party.""",perpetual
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Governing Law,This Agreement shall be governed by and construed in accordance with the internal laws of the State of Ohio.,Ohio
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Parties,"Operating Company, TransMontaigne Management Company, LLC, TLP Management Services, LLC, EmployeeCo, The above-named entities are sometimes referred to in this Agreement (as defined herein) each as a ""Party"" and collectively as the ""Parties.""","TransMontaigne Management Company, LLC (""EmployeeCo""); TLP Management Services, LLC (""Operating Company""); (each ""Party,"" collectively ""Parties"")"
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Agreement Date,"August , 2019",08/[]/2019
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Effective Date,"August , 2019",08/[]/2019
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Expiration Date,This Agreement shall remain in effect until terminated by the Parties.,perpetual
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Governing Law,"This Agreement shall be subject to and governed by the laws of the State of Colorado, excluding any conflicts-of-law rule or principle that might refer the construction or interpretation of this Agreement to the laws of another state.",Colorado
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,Parties,"Executive, WPP 2005 LIMITED, Company, JOHN ROGERS","WPP 2005 LIMITED (""Company""); JOHN ROGERS (""Executive"")"
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,Agreement Date,1 October 2019,10/01/2019
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,Effective Date,27 January 2020,1/27/20
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,Expiration Date,"""The Appointment may be terminated by either party giving the other at least 12 months notice in writing.""",perpetual
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,Governing Law,"This Agreement is governed by and construed in accordance with English law, save where provided otherwise herein.",England
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,Parties,"\\Employee"", NIGEL CROCKETT, Company, BICYCLETX LIMITED","BICYCLETX LIMITED (""Company""); NIGEL CROCKETT (""Employee"")"
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,Agreement Date,26 September 2019,9/26/19
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,Effective Date,26 September 2019,9/26/19
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,Expiration Date,Your employment shall commence on 26 September 2019 and shall continue unless and until either party gives notice to the other in accordance with paragraph 11 below.,perpetual
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,Governing Law,"This Agreement shall be governed by and interpreted in accordance with the laws of England and Wales and the parties to this Agreement submit to the exclusive jurisdiction of the Courts of England and Wales in relation to any claim, dispute or matter arising out of or relating to this Agreement.",England
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Parties,"FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC., FIIOC, Company, NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION","Fidelity Investments Institutional Operations Company, Inc. (""FIIOC""); New York Life Insurance and Annuity Corporation (""Company"")"
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Agreement Date,"1st day of January, 1998",01/01/1998
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Effective Date,"1st day of January, 1998",01/01/1998
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Expiration Date,"""This Agreement shall terminate immediately and automatically upon the termination of Companys Participation Agreement(s) with the Funds, and in such event no notice need be given hereunder.""",
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Governing Law,This Agreement shall be construed and the provisions hereof interpreted under and in accordance with the laws of the Commonwealth of Massachusetts.,Massachusetts
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Parties,"[•], Service Recipient, Rise (Tianjin) Education Information Consulting Co., Ltd., Service Provider","Rise (Tianjin) Education Information Consulting Co., Ltd. (""Service Provider""); (""Service Recipient"")"
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Agreement Date,[Date],
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Effective Date,This Agreement shall be effective as of the date set forth above in this Agreement.,
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Expiration Date,The term of this Agreement shall be five (5) years.,
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Renewal Term,"This Agreement shall be renewed automatically for another five (5) years upon the expiration unless the Parties confirm, in writing, the termination of this Agreement.",5 years
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Document Name,Service Agreement,Service Agreement
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Parties,"PC Financial Services Private Limited, PC Financial and Mobimagic are individually referred to herein each as a ""Party"" and collectively as the ""Parties."", Mobimagic Co., Ltd., PC Financial, Mobimagic","PC Financial Services Private Limited (""PC Financial""); Mobimagic Co., Ltd. (""Mobimagic""); (each as ""Party"" collectively as ""Parties"")"
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Agreement Date,April. 1st 2019,04/01/2019
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Effective Date,April. 1st 2019,04/01/2019
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Expiration Date,"The Agreement shall commence on the Effective Date and continue in effect for the Service Period, unless terminated earlier as provided in this Section., ""Service Period"" means April. 1st 2019 through to March 30, 2020 The Agreement shall commence on the Effective Date and continue in effect for the Service Period, unless terminated earlier as provided in this Section.",3/30/20
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Renewal Term,"knowingly use the Services in violation of this Agreement. 4.7 Data protection. Each Party agrees to comply with all applicable data protection and privacy laws arising from its obligations, if any, under the Agreement and to reasonably co-operate with the other Party in order to allow the other Party to comply with any laws as deemed necessary from time to time. Each Party shall treat all data, information relating to Services, including but not limit to the customer personal data, as confidential. Each party warrants that it shall take appropriate technical and organizational measures against unauthorized or unlaw, knowingly use the Services in violation of this Agreement. 3\n\n\n\n\n\n4.7 Data protection. Each Party agrees to comply with all applicable data protection and privacy laws arising from its obligations, if any, under the Agreement and to reasonably co-operate with the other Party in order to allow the other Party to comply with any laws as deemed necessary from time to time. Each Party shall treat all data, information relating to Services, including but not limit to the customer personal data, as confidential. Each party warrants that it shall take appropriate technical and organizational measures against unauthorized or unlaw",
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,Governing Law,"This Agreement (and any question about its subsistence, effect or termination) is to be interpreted in accordance with the laws of India, save for that body of law which governs the conflict of laws.",India
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF",Parties,"Solutions Vending International, Inc, Company, ""Customer"" or ""you"", StartEngine Crowdfunding, Inc.","StartEngine Crowdfunding, Inc. (""Company""); Solutions Vending International, Inc (""Customer"", ""you"")"
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF",Agreement Date,08/19/2019,8/19/19
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF",Effective Date,"This Services Agreement (""Services Agreement"" or ""Agreement"") is entered into as of the date noted below (the ""Effective Date"") between StartEngine Crowdfunding, Inc., a Delaware corporation (""Company""), and Solutions Vending International, Inc a DE corporation (""Customer"" or ""you""). 08/19/2019",8/19/19
"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT.PDF",Expiration Date,"Subject to earlier termination as provided below, this Service Agreement is for the total duration of the Company\s Offering (the ""Initial Term"") unless either party requests termination at least 30 days prior to the end of the then-current term.",
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",Parties,"Executive, Employer, Brett Haumann, Theravance Biopharma UK Limited","Theravance Biopharma UK Limited (""Employer""); Brett Haumann (""Executive"")"
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",Agreement Date,"1 April, 2020",04/01/2020
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",Effective Date,1 April 2020,04/01/2020
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",Expiration Date,"""The Executives employment with the Company will commence on the Commencement Date and shall continue, subject to the remaining terms of this Agreement, until terminated by either party giving the other the following minimum advance written notice: 2.1.1 6 weeks notice;\n\n2.1.2 such other longer period as required by law.""",perpetual
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",Governing Law,This Agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the law of England.,England
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Parties,"Domini Social Investments LLC, Domini Advisor Trust, ""Domini"" or the ""Sponsor"", Trust","Domini Advisor Trust (""Trust""); Domini Social Investments LLC (""Domini"" or the ""Sponser"")"
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Agreement Date,"February 4, 2005",02/04/2005
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Effective Date,"February 4, 2005 This Agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this Section 6.",02/04/2005
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Expiration Date,"This Agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this Section 6.",perpetual
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Governing Law,This Agreement shall be construed and enforced and interpreted in accordance with and governed by the laws of the Commonwealth of Massachusetts without reference to principles of conflicts of law.,Massachusetts
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Document Name,Sponsorship Agreement,Sponsorship Agreement
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Parties,"Sponsor, R. C. Boyd Enterprises, LLC, ""Cano, Cano Petroleum, Inc., Boyd, Company","R. C. Boyd Enterprises, LLC (""Company"" or ""Boyd""); Cano Petroleum, Inc. (""Sponsor"" or ""Cano"")"
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Agreement Date,"5th day of December, 2007",12/05/2007
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Effective Date,"This Agreement is executed in duplicate on the 5th day of December, 2007, in Fort Worth, Tarrant County, Texas, to be effective January 1, 2008.",01/01/2008
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Expiration Date,"The term of this Agreement shall be one (1) year, commencing January 1, 2008 and ending on December 31, 2008.",12/31/08
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Governing Law,"This Agreement shall be governed by and construed in accordance with the laws of the State of Texas and venue for any legal action brought in State Court shall lie exclusively in Tarrant County, Texas and venue for any action brought in federal court shall lie exclusively in the Northern District of Texas, Fort Worth Division.",Texas
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Document Name,SPONSORSHIP AND DEVELOPMENT AGREEMENT,SPONSORSHIP AND DEVELOPMENT AGREEMENT
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Parties,"TDA, RICK SMITH ENTERPRISES, Smith, TEKNIK DIGITAL ARTS INC.","TEKNIK DIGITAL ARTS INC. (""TDA""); RICK SMITH ENTERPRISES (""Smith"")"
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Agreement Date,"August 6, 2004",08/06/2004
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Effective Date,"August 6, 2004",08/06/2004
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Expiration Date,"The term of this Agreement (the ""Term"") shall commence on the Effective Date and terminate at the end of the Exclusivity Period (i.e., a three (3) year period commencing on the Effective Date).",08/06/2007
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Governing Law,"This Agreement shall be governed by the laws of the State of Arizona applicable to agreements fully executed and performed therein., This Agreement will be deemed entered into in Arizona and will be governed by and interpreted in accordance with the internal substantive laws of the State of Arizona without reference to conflicts of law provisions.",Arizona
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Parties,"Sponsor, GAINSCO, INC., Stallings Capital Group Consultants, Ltd., Racing","Stallings Capital Group Consultants, Ltd. (""Racing""); GAINSCO, INC. (""Sponser"")"
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Agreement Date,"January 1, 2010",01/01/2010
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Effective Date,"January 1, 2010",01/01/2010
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Expiration Date,"Subject to the provisions of Section 14 hereof, the term of this Agreement and the sponsorship described herein shall commence on January 1, 2010 and extend through December 31, 2010.",12/31/10
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Governing Law,"This Agreement shall be governed and construed in accordance with the internal laws of the State of Texas, without giving effect to principles of conflict of laws.",Texas
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Most Favored Nation,"""The Sponsor acknowledges that Racing has arranged and may arrange in the future for other sponsors for the Racing Team. Racing agrees that, during the term of this Agreement, (i) Sponsor shall have the right to approve or disapprove any additional sponsor identified by Racing, and (ii) unless another proposed sponsor has agreed to pay a sponsorship fee that exceeds the amount paid by Sponsor, no other sponsor shall receive any benefit of greater value (including either an equivalent or a more prominent use of another sponsors name, logo or other identifying information) than the Benefits provided to the Sponsor hereunder.""",Yes
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Parties,"Wells Fargo Bank, N.A, Bank, iPayment, Inc., FDMS, First Data Merchant Services Corporation, ISO","iPayment, Inc. (""ISO""); First Data Merchant Services Corporation (""FDMS""); Wells Fargo Bank, N.A. (""Bank"")"
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Agreement Date,"January 29, 2007",1/29/07
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Effective Date,"January 29, 2007",1/29/07
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Expiration Date,"The initial term of this Agreement shall be four (4) Processing Years commencing on the Effective Date of this Agreement and ending on June 30, 2010 unless",6/30/10
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Renewal Term,"Thereafter, this Agreement shall automatically continue in effect until either party gives the other at least six (6) months prior written notice of termination.",perpetual
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",Governing Law,"This Agreement shall be governed by and construed in accordance with the laws of the State of New York, without giving effect to New York conflict laws.",New York
